DEBUG: General     , 1681170763087> 172.989> LoggerManager.init                  > Initializing...
LOG  : General     , 1681170802497> 212.388> duplicate texture d_streetcracks_1_34 ignore ID=526370, use ID=358034
LOG  : General     , 1681170802497> 212.389> duplicate texture d_streetcracks_1_35 ignore ID=526371, use ID=358035
LOG  : General     , 1681170802497> 212.389> duplicate texture d_streetcracks_1_36 ignore ID=526372, use ID=358036
LOG  : General     , 1681170802503> 212.394> duplicate texture d_streetcracks_1_37 ignore ID=526373, use ID=358037
LOG  : General     , 1681170802503> 212.394> duplicate texture d_streetcracks_1_38 ignore ID=526374, use ID=358038
LOG  : General     , 1681170802503> 212.395> duplicate texture d_streetcracks_1_39 ignore ID=526375, use ID=358039
LOG  : General     , 1681170802503> 212.395> duplicate texture d_streetcracks_1_40 ignore ID=526376, use ID=358040
LOG  : General     , 1681170802504> 212.395> duplicate texture d_streetcracks_1_41 ignore ID=526377, use ID=358041
LOG  : General     , 1681170802504> 212.395> duplicate texture d_streetcracks_1_42 ignore ID=526378, use ID=358042
LOG  : General     , 1681170802504> 212.396> duplicate texture d_streetcracks_1_43 ignore ID=526379, use ID=358043
LOG  : General     , 1681170802504> 212.396> duplicate texture d_streetcracks_1_44 ignore ID=526380, use ID=358044
LOG  : General     , 1681170802505> 212.396> duplicate texture d_streetcracks_1_45 ignore ID=526381, use ID=358045
LOG  : General     , 1681170802505> 212.396> duplicate texture d_streetcracks_1_46 ignore ID=526382, use ID=358046
LOG  : General     , 1681170802506> 212.398> duplicate texture d_streetcracks_1_47 ignore ID=526383, use ID=358047
LOG  : General     , 1681170802507> 212.398> duplicate texture d_streetcracks_1_48 ignore ID=526384, use ID=358048
LOG  : General     , 1681170802507> 212.399> duplicate texture d_streetcracks_1_49 ignore ID=526385, use ID=358049
LOG  : General     , 1681170802508> 212.399> duplicate texture d_streetcracks_1_50 ignore ID=526386, use ID=358050
LOG  : General     , 1681170802508> 212.399> duplicate texture d_streetcracks_1_51 ignore ID=526387, use ID=358051
LOG  : General     , 1681170802508> 212.399> duplicate texture d_streetcracks_1_52 ignore ID=526388, use ID=358052
LOG  : General     , 1681170802508> 212.400> duplicate texture d_streetcracks_1_53 ignore ID=526389, use ID=358053
LOG  : General     , 1681170802508> 212.400> duplicate texture d_streetcracks_1_54 ignore ID=526390, use ID=358054
LOG  : General     , 1681170802509> 212.400> duplicate texture d_streetcracks_1_55 ignore ID=526391, use ID=358055
LOG  : General     , 1681170802509> 212.400> duplicate texture d_streetcracks_1_56 ignore ID=526392, use ID=358056
LOG  : General     , 1681170802509> 212.400> duplicate texture d_streetcracks_1_57 ignore ID=526393, use ID=358057
LOG  : General     , 1681170802509> 212.401> duplicate texture d_streetcracks_1_58 ignore ID=526394, use ID=358058
LOG  : General     , 1681170802510> 212.401> duplicate texture d_streetcracks_1_59 ignore ID=526395, use ID=358059
LOG  : General     , 1681170802510> 212.401> duplicate texture d_streetcracks_1_60 ignore ID=526396, use ID=358060
LOG  : General     , 1681170802510> 212.401> duplicate texture d_streetcracks_1_61 ignore ID=526397, use ID=358061
LOG  : General     , 1681170802510> 212.401> duplicate texture d_streetcracks_1_62 ignore ID=526398, use ID=358062
LOG  : General     , 1681170802510> 212.402> duplicate texture d_streetcracks_1_63 ignore ID=526399, use ID=358063
LOG  : General     , 1681170802510> 212.402> duplicate texture d_streetcracks_1_64 ignore ID=526400, use ID=358064
LOG  : General     , 1681170802511> 212.402> duplicate texture d_streetcracks_1_65 ignore ID=526401, use ID=358065
LOG  : General     , 1681170802511> 212.402> duplicate texture d_streetcracks_1_66 ignore ID=526402, use ID=358066
LOG  : General     , 1681170802511> 212.402> duplicate texture d_streetcracks_1_67 ignore ID=526403, use ID=358067
LOG  : General     , 1681170802511> 212.403> duplicate texture d_streetcracks_1_68 ignore ID=526404, use ID=358068
LOG  : General     , 1681170802511> 212.403> duplicate texture d_streetcracks_1_69 ignore ID=526405, use ID=358069
LOG  : General     , 1681170802512> 212.403> duplicate texture d_streetcracks_1_70 ignore ID=526406, use ID=358070
LOG  : General     , 1681170802512> 212.403> duplicate texture d_streetcracks_1_71 ignore ID=526407, use ID=358071
LOG  : General     , 1681170802512> 212.403> duplicate texture d_streetcracks_1_72 ignore ID=526408, use ID=358072
LOG  : General     , 1681170802512> 212.404> duplicate texture d_streetcracks_1_73 ignore ID=526409, use ID=358073
LOG  : General     , 1681170802512> 212.404> duplicate texture d_streetcracks_1_74 ignore ID=526410, use ID=358074
LOG  : General     , 1681170802513> 212.404> duplicate texture d_streetcracks_1_75 ignore ID=526411, use ID=358075
LOG  : General     , 1681170802513> 212.404> duplicate texture d_streetcracks_1_76 ignore ID=526412, use ID=358076
LOG  : General     , 1681170802513> 212.404> duplicate texture d_streetcracks_1_77 ignore ID=526413, use ID=358077
LOG  : General     , 1681170802513> 212.405> duplicate texture d_streetcracks_1_78 ignore ID=526414, use ID=358078
LOG  : General     , 1681170802513> 212.405> duplicate texture d_streetcracks_1_79 ignore ID=526415, use ID=358079
LOG  : General     , 1681170802514> 212.405> duplicate texture d_streetcracks_1_80 ignore ID=526416, use ID=358080
LOG  : General     , 1681170802514> 212.405> duplicate texture d_streetcracks_1_81 ignore ID=526417, use ID=358081
LOG  : General     , 1681170802514> 212.406> duplicate texture d_streetcracks_1_82 ignore ID=526418, use ID=358082
LOG  : General     , 1681170802514> 212.406> duplicate texture d_streetcracks_1_83 ignore ID=526419, use ID=358083
LOG  : General     , 1681170802515> 212.406> duplicate texture d_streetcracks_1_84 ignore ID=526420, use ID=358084
LOG  : General     , 1681170802515> 212.406> duplicate texture d_streetcracks_1_85 ignore ID=526421, use ID=358085
LOG  : General     , 1681170802515> 212.406> duplicate texture d_streetcracks_1_86 ignore ID=526422, use ID=358086
LOG  : General     , 1681170802515> 212.407> duplicate texture d_streetcracks_1_87 ignore ID=526423, use ID=358087
LOG  : General     , 1681170802515> 212.407> duplicate texture d_streetcracks_1_88 ignore ID=526424, use ID=358088
LOG  : General     , 1681170802516> 212.407> duplicate texture d_streetcracks_1_89 ignore ID=526425, use ID=358089
LOG  : General     , 1681170802516> 212.407> duplicate texture d_streetcracks_1_90 ignore ID=526426, use ID=358090
LOG  : General     , 1681170802516> 212.408> duplicate texture d_streetcracks_1_91 ignore ID=526427, use ID=358091
LOG  : General     , 1681170802516> 212.408> duplicate texture d_streetcracks_1_92 ignore ID=526428, use ID=358092
LOG  : General     , 1681170802517> 212.408> duplicate texture d_streetcracks_1_93 ignore ID=526429, use ID=358093
LOG  : General     , 1681170802517> 212.408> duplicate texture d_streetcracks_1_94 ignore ID=526430, use ID=358094
LOG  : General     , 1681170802517> 212.408> duplicate texture d_streetcracks_1_95 ignore ID=526431, use ID=358095
LOG  : General     , 1681170802517> 212.409> duplicate texture d_streetcracks_1_96 ignore ID=526432, use ID=358096
LOG  : General     , 1681170802517> 212.409> duplicate texture d_streetcracks_1_97 ignore ID=526433, use ID=358097
LOG  : General     , 1681170802518> 212.409> duplicate texture d_streetcracks_1_98 ignore ID=526434, use ID=358098
LOG  : General     , 1681170802518> 212.409> duplicate texture d_streetcracks_1_99 ignore ID=526435, use ID=358099
LOG  : General     , 1681170802518> 212.410> duplicate texture d_streetcracks_1_100 ignore ID=526436, use ID=358100
LOG  : General     , 1681170802519> 212.410> duplicate texture d_streetcracks_1_101 ignore ID=526437, use ID=358101
LOG  : General     , 1681170802519> 212.410> duplicate texture d_streetcracks_1_102 ignore ID=526438, use ID=358102
LOG  : General     , 1681170802519> 212.410> duplicate texture d_streetcracks_1_103 ignore ID=526439, use ID=358103
LOG  : General     , 1681170802519> 212.411> duplicate texture d_streetcracks_1_104 ignore ID=526440, use ID=358104
LOG  : General     , 1681170802519> 212.411> duplicate texture d_streetcracks_1_105 ignore ID=526441, use ID=358105
LOG  : General     , 1681170802520> 212.411> duplicate texture d_streetcracks_1_106 ignore ID=526442, use ID=358106
LOG  : General     , 1681170802520> 212.411> duplicate texture d_streetcracks_1_107 ignore ID=526443, use ID=358107
LOG  : General     , 1681170802520> 212.411> duplicate texture d_streetcracks_1_108 ignore ID=526444, use ID=358108
LOG  : General     , 1681170802520> 212.412> duplicate texture d_streetcracks_1_109 ignore ID=526445, use ID=358109
LOG  : General     , 1681170802520> 212.412> duplicate texture d_streetcracks_1_110 ignore ID=526446, use ID=358110
LOG  : General     , 1681170802521> 212.412> duplicate texture d_streetcracks_1_111 ignore ID=526447, use ID=358111
LOG  : General     , 1681170802521> 212.412> duplicate texture d_streetcracks_1_112 ignore ID=526448, use ID=358112
LOG  : General     , 1681170802521> 212.412> duplicate texture d_streetcracks_1_113 ignore ID=526449, use ID=358113
LOG  : General     , 1681170802521> 212.413> duplicate texture d_streetcracks_1_114 ignore ID=526450, use ID=358114
LOG  : General     , 1681170802522> 212.413> duplicate texture d_streetcracks_1_115 ignore ID=526451, use ID=358115
LOG  : General     , 1681170802522> 212.414> duplicate texture d_streetcracks_1_116 ignore ID=526452, use ID=358116
LOG  : General     , 1681170802522> 212.414> duplicate texture d_streetcracks_1_117 ignore ID=526453, use ID=358117
LOG  : General     , 1681170802523> 212.414> duplicate texture d_streetcracks_1_118 ignore ID=526454, use ID=358118
LOG  : General     , 1681170802523> 212.414> duplicate texture d_streetcracks_1_119 ignore ID=526455, use ID=358119
LOG  : General     , 1681170802523> 212.414> duplicate texture d_streetcracks_1_120 ignore ID=526456, use ID=358120
LOG  : General     , 1681170802523> 212.415> duplicate texture d_streetcracks_1_121 ignore ID=526457, use ID=358121
LOG  : General     , 1681170802524> 212.415> duplicate texture d_streetcracks_1_122 ignore ID=526458, use ID=358122
LOG  : General     , 1681170802524> 212.415> duplicate texture d_streetcracks_1_123 ignore ID=526459, use ID=358123
LOG  : General     , 1681170802524> 212.415> duplicate texture d_streetcracks_1_124 ignore ID=526460, use ID=358124
LOG  : General     , 1681170802525> 212.417> duplicate texture d_streetcracks_1_125 ignore ID=526461, use ID=358125
LOG  : General     , 1681170802526> 212.417> duplicate texture d_streetcracks_1_126 ignore ID=526462, use ID=358126
LOG  : General     , 1681170802526> 212.417> duplicate texture d_streetcracks_1_127 ignore ID=526463, use ID=358127
LOG  : General     , 1681170802532> 212.423> duplicate texture d_wallcracks_1_0 ignore ID=537088, use ID=360000
LOG  : General     , 1681170802533> 212.424> duplicate texture d_wallcracks_1_1 ignore ID=537089, use ID=360001
LOG  : General     , 1681170802533> 212.425> duplicate texture d_wallcracks_1_2 ignore ID=537090, use ID=360002
LOG  : General     , 1681170802533> 212.425> duplicate texture d_wallcracks_1_3 ignore ID=537091, use ID=360003
LOG  : General     , 1681170802534> 212.425> duplicate texture d_wallcracks_1_4 ignore ID=537092, use ID=360004
LOG  : General     , 1681170802534> 212.425> duplicate texture d_wallcracks_1_5 ignore ID=537093, use ID=360005
LOG  : General     , 1681170802534> 212.426> duplicate texture d_wallcracks_1_6 ignore ID=537094, use ID=360006
LOG  : General     , 1681170802534> 212.426> duplicate texture d_wallcracks_1_7 ignore ID=537095, use ID=360007
LOG  : General     , 1681170802535> 212.426> duplicate texture d_wallcracks_1_8 ignore ID=537096, use ID=360008
LOG  : General     , 1681170802535> 212.426> duplicate texture d_wallcracks_1_9 ignore ID=537097, use ID=360009
LOG  : General     , 1681170802535> 212.427> duplicate texture d_wallcracks_1_10 ignore ID=537098, use ID=360010
LOG  : General     , 1681170802536> 212.427> duplicate texture d_wallcracks_1_11 ignore ID=537099, use ID=360011
LOG  : General     , 1681170802536> 212.427> duplicate texture d_wallcracks_1_12 ignore ID=537100, use ID=360012
LOG  : General     , 1681170802536> 212.427> duplicate texture d_wallcracks_1_13 ignore ID=537101, use ID=360013
LOG  : General     , 1681170802536> 212.428> duplicate texture d_wallcracks_1_14 ignore ID=537102, use ID=360014
LOG  : General     , 1681170802536> 212.428> duplicate texture d_wallcracks_1_15 ignore ID=537103, use ID=360015
LOG  : General     , 1681170802537> 212.428> duplicate texture d_wallcracks_1_16 ignore ID=537104, use ID=360016
LOG  : General     , 1681170802537> 212.428> duplicate texture d_wallcracks_1_17 ignore ID=537105, use ID=360017
LOG  : General     , 1681170802537> 212.428> duplicate texture d_wallcracks_1_18 ignore ID=537106, use ID=360018
LOG  : General     , 1681170802537> 212.429> duplicate texture d_wallcracks_1_19 ignore ID=537107, use ID=360019
LOG  : General     , 1681170802537> 212.429> duplicate texture d_wallcracks_1_20 ignore ID=537108, use ID=360020
LOG  : General     , 1681170802538> 212.429> duplicate texture d_wallcracks_1_21 ignore ID=537109, use ID=360021
LOG  : General     , 1681170802538> 212.429> duplicate texture d_wallcracks_1_22 ignore ID=537110, use ID=360022
LOG  : General     , 1681170802538> 212.429> duplicate texture d_wallcracks_1_23 ignore ID=537111, use ID=360023
LOG  : General     , 1681170802538> 212.430> duplicate texture d_wallcracks_1_24 ignore ID=537112, use ID=360024
LOG  : General     , 1681170802538> 212.431> duplicate texture d_wallcracks_1_25 ignore ID=537113, use ID=360025
LOG  : General     , 1681170802540> 212.431> duplicate texture d_wallcracks_1_26 ignore ID=537114, use ID=360026
LOG  : General     , 1681170802540> 212.432> duplicate texture d_wallcracks_1_27 ignore ID=537115, use ID=360027
LOG  : General     , 1681170802540> 212.432> duplicate texture d_wallcracks_1_28 ignore ID=537116, use ID=360028
LOG  : General     , 1681170802541> 212.432> duplicate texture d_wallcracks_1_29 ignore ID=537117, use ID=360029
LOG  : General     , 1681170802541> 212.432> duplicate texture d_wallcracks_1_30 ignore ID=537118, use ID=360030
LOG  : General     , 1681170802541> 212.432> duplicate texture d_wallcracks_1_31 ignore ID=537119, use ID=360031
LOG  : General     , 1681170802541> 212.433> duplicate texture d_wallcracks_1_32 ignore ID=537120, use ID=360032
LOG  : General     , 1681170802541> 212.433> duplicate texture d_wallcracks_1_33 ignore ID=537121, use ID=360033
LOG  : General     , 1681170802542> 212.433> duplicate texture d_wallcracks_1_34 ignore ID=537122, use ID=360034
LOG  : General     , 1681170802542> 212.433> duplicate texture d_wallcracks_1_35 ignore ID=537123, use ID=360035
LOG  : General     , 1681170802542> 212.433> duplicate texture d_wallcracks_1_36 ignore ID=537124, use ID=360036
LOG  : General     , 1681170802542> 212.434> duplicate texture d_wallcracks_1_37 ignore ID=537125, use ID=360037
LOG  : General     , 1681170802542> 212.434> duplicate texture d_wallcracks_1_38 ignore ID=537126, use ID=360038
LOG  : General     , 1681170802543> 212.434> duplicate texture d_wallcracks_1_39 ignore ID=537127, use ID=360039
LOG  : General     , 1681170802543> 212.434> duplicate texture d_wallcracks_1_40 ignore ID=537128, use ID=360040
LOG  : General     , 1681170802543> 212.435> duplicate texture d_wallcracks_1_41 ignore ID=537129, use ID=360041
LOG  : General     , 1681170802543> 212.435> duplicate texture d_wallcracks_1_42 ignore ID=537130, use ID=360042
LOG  : General     , 1681170802544> 212.435> duplicate texture d_wallcracks_1_43 ignore ID=537131, use ID=360043
LOG  : General     , 1681170802544> 212.435> duplicate texture d_wallcracks_1_44 ignore ID=537132, use ID=360044
LOG  : General     , 1681170802544> 212.435> duplicate texture d_wallcracks_1_45 ignore ID=537133, use ID=360045
LOG  : General     , 1681170802544> 212.436> duplicate texture d_wallcracks_1_46 ignore ID=537134, use ID=360046
LOG  : General     , 1681170802545> 212.436> duplicate texture d_wallcracks_1_47 ignore ID=537135, use ID=360047
LOG  : General     , 1681170802545> 212.437> duplicate texture d_wallcracks_1_48 ignore ID=537136, use ID=360048
LOG  : General     , 1681170802545> 212.437> duplicate texture d_wallcracks_1_49 ignore ID=537137, use ID=360049
LOG  : General     , 1681170802546> 212.437> duplicate texture d_wallcracks_1_50 ignore ID=537138, use ID=360050
LOG  : General     , 1681170802546> 212.437> duplicate texture d_wallcracks_1_51 ignore ID=537139, use ID=360051
LOG  : General     , 1681170802546> 212.437> duplicate texture d_wallcracks_1_52 ignore ID=537140, use ID=360052
LOG  : General     , 1681170802546> 212.438> duplicate texture d_wallcracks_1_53 ignore ID=537141, use ID=360053
LOG  : General     , 1681170802546> 212.438> duplicate texture d_wallcracks_1_54 ignore ID=537142, use ID=360054
LOG  : General     , 1681170802547> 212.438> duplicate texture d_wallcracks_1_55 ignore ID=537143, use ID=360055
LOG  : General     , 1681170802547> 212.438> duplicate texture d_wallcracks_1_56 ignore ID=537144, use ID=360056
LOG  : General     , 1681170802547> 212.438> duplicate texture d_wallcracks_1_57 ignore ID=537145, use ID=360057
LOG  : General     , 1681170802547> 212.439> duplicate texture d_wallcracks_1_58 ignore ID=537146, use ID=360058
LOG  : General     , 1681170802547> 212.439> duplicate texture d_wallcracks_1_59 ignore ID=537147, use ID=360059
LOG  : General     , 1681170802548> 212.439> duplicate texture d_wallcracks_1_60 ignore ID=537148, use ID=360060
LOG  : General     , 1681170802548> 212.439> duplicate texture d_wallcracks_1_61 ignore ID=537149, use ID=360061
LOG  : General     , 1681170802548> 212.439> duplicate texture d_wallcracks_1_62 ignore ID=537150, use ID=360062
LOG  : General     , 1681170802548> 212.440> duplicate texture d_wallcracks_1_63 ignore ID=537151, use ID=360063
LOG  : General     , 1681170802548> 212.440> duplicate texture d_wallcracks_1_64 ignore ID=537152, use ID=360064
LOG  : General     , 1681170802549> 212.440> duplicate texture d_wallcracks_1_65 ignore ID=537153, use ID=360065
LOG  : General     , 1681170802549> 212.440> duplicate texture d_wallcracks_1_66 ignore ID=537154, use ID=360066
LOG  : General     , 1681170802549> 212.440> duplicate texture d_wallcracks_1_67 ignore ID=537155, use ID=360067
LOG  : General     , 1681170802549> 212.440> duplicate texture d_wallcracks_1_68 ignore ID=537156, use ID=360068
LOG  : General     , 1681170802549> 212.441> duplicate texture d_wallcracks_1_69 ignore ID=537157, use ID=360069
LOG  : General     , 1681170802549> 212.441> duplicate texture d_wallcracks_1_70 ignore ID=537158, use ID=360070
LOG  : General     , 1681170802550> 212.441> duplicate texture d_wallcracks_1_71 ignore ID=537159, use ID=360071
LOG  : General     , 1681170802553> 212.444> MOVABLES: E face defined more than once for group: (Low Hedge) sheet = f_bushes_2
LOG  : General     , 1681170802553> 212.444> MOVABLES: S face defined more than once for group: (Low Hedge) sheet = f_bushes_2
LOG  : General     , 1681170802553> 212.445> MOVABLES: E face defined more than once for group: (Tall Hedge) sheet = f_bushes_2
LOG  : General     , 1681170802553> 212.445> MOVABLES: S face defined more than once for group: (Tall Hedge) sheet = f_bushes_2
LOG  : General     , 1681170802554> 212.445> MOVABLES: N face defined more than once for group: (Low Corner Hedge) sheet = f_bushes_2
LOG  : General     , 1681170802554> 212.445> MOVABLES: S face defined more than once for group: (Low Corner Hedge) sheet = f_bushes_2
LOG  : General     , 1681170802554> 212.445> MOVABLES: N face defined more than once for group: (Tall Corner Hedge) sheet = f_bushes_2
LOG  : General     , 1681170802554> 212.446> MOVABLES: S face defined more than once for group: (Tall Corner Hedge) sheet = f_bushes_2
LOG  : General     , 1681170802555> 212.446> tiledef: loading D:\Joguinhos\Project.Zomboid.v41.78.16\Project Zomboid v41.78.16\media\tiledefinitions_apcom.tiles
LOG  : General     , 1681170802555> 212.447> tiledef: loading D:\Joguinhos\Project.Zomboid.v41.78.16\Project Zomboid v41.78.16\media\tiledefinitions_overlays.tiles
LOG  : General     , 1681170802568> 212.459> tiledef: loading D:\Joguinhos\Project.Zomboid.v41.78.16\Project Zomboid v41.78.16\media\tiledefinitions_noiseworks.patch.tiles
LOG  : General     , 1681170802577> 212.468> MOVABLES: E face defined more than once for group: (Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1681170802577> 212.469> MOVABLES: S face defined more than once for group: (Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1681170802577> 212.469> MOVABLES: E face defined more than once for group: (Left Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1681170802578> 212.469> MOVABLES: S face defined more than once for group: (Left Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1681170802578> 212.469> MOVABLES: E face defined more than once for group: (Right Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1681170802578> 212.469> MOVABLES: S face defined more than once for group: (Right Bar Wall Bar) sheet = location_restaurant_bar_01
LOG  : General     , 1681170802578> 212.470> MOVABLES: E face defined more than once for group: (Bar Tap Antique) sheet = location_restaurant_bar_01
LOG  : General     , 1681170802579> 212.470> MOVABLES: Object has too many faces defined for group: (Bar Counter) sheet = location_restaurant_bar_01
LOG  : General     , 1681170802579> 212.470> MOVABLES: Object has too many faces defined for group: (Bar Corner Counter) sheet = location_restaurant_bar_01
LOG  : General     , 1681170802588> 212.479> MOVABLES: Object has only one face defined for group: (Streetname Sign) sheet = street_decoration_01
LOG  : General     , 1681170802588> 212.480> MOVABLES: Not all members have a valid face defined for group: (Streetname Sign) sheet = street_decoration_01
LOG  : General     , 1681170804808> 214.700> Loading Recorded Media:C:\Users\Gabriel\Zomboid\Saves\Multiplayer\configserver\recorded_media.bin
LOG  : General     , 1681170804922> 214.814> Saving Recorded Media:C:\Users\Gabriel\Zomboid\Saves\Multiplayer\configserver\recorded_media.bin
LOG  : General     , 1681170806173> 216.065> Attempting to load translation: PT
LOG  : General     , 1681170806209> 216.101> scriptmanager = zombie.radio.scripting.RadioScriptManager@15d3793b, isNewGame = false
LOG  : General     , 1681170806209> 216.101> name = Automated Emergency Broadcast System, freq = 91600, cat = Emergency, uuid = EMRG-711984
LOG  : General     , 1681170806216> 216.108> Radio Loading channels...
LOG  : General     , 1681170806239> 216.131> Loading GlobalModData:C:\Users\Gabriel\Zomboid\Saves\Multiplayer\configserver\global_mod_data.bin
LOG  : General     , 1681170806247> 216.139> erosion: reading C:\Users\Gabriel\Zomboid\Saves\Multiplayer\configserver\erosion.ini
LOG  : General     , 1681170806573> 216.464> WorldDictionary: Checking dictionary...
LOG  : General     , 1681170806730> 216.621> Loading WorldDictionary:C:\Users\Gabriel\Zomboid\Saves\Multiplayer\configserver\WorldDictionary.bin
LOG  : General     , 1681170809686> 219.577> IsoMetaGrid.Create: finished loading in 8.53 seconds
LOG  : General     , 1681170809742> 219.633> Calculate weather front strength = 0.50499725
LOG  : General     , 1681170809754> 219.646> Calculate weather front strength = 0.24978235
LOG  : General     , 1681170809759> 219.651> Calculate weather front strength = 0.6391354
LOG  : General     , 1681170809762> 219.653> Calculate weather front strength = 0.6370193
LOG  : General     , 1681170809765> 219.656> Calculate weather front strength = 0.6331731
LOG  : Lua         , 1681170809770> 219.662> Loading: media/maps/Muldraugh, KY/objects.lua
LOG  : General     , 1681170810033> 219.924> ERROR: Mannequin zone missing properties in media/maps/Muldraugh, KY/objects.lua at 13583,1299,0
LOG  : General     , 1681170810938> 220.830> loading 18906 zones from map_zone.bin
LOG  : General     , 1681170811133> 221.025> Max #ZONES on one chunk is 11
LOG  : General     , 1681170812282> 222.174> reanimate: loaded 9 zombies
LOG  : Network     , 1681170812443> 222.335> Initialising RakNet...
LOG  : Network     , 1681170812443> 222.335> [10-04-23 20:53:32.443] > ZNet: [-> CZombienet: RakNetPeerInterface_Init
LOG  : Network     , 1681170812443> 222.336> [10-04-23 20:53:32.443] > ZNet: g_peer = 0x602b2f80
LOG  : Network     , 1681170812444> 222.336> [10-04-23 20:53:32.444] > ZNet: [-> CZombienet: RakNetPeerInterface_SetMaximumIncomingConnections
LOG  : Network     , 1681170812461> 222.353> [10-04-23 20:53:32.461] > ZNet: [-> CZombienet: RakNetPeerInterface_SetServerPort
LOG  : Network     , 1681170812462> 222.354> [10-04-23 20:53:32.462] > ZNet: SetServerPort: port=16261 UDPPort=16262
LOG  : Network     , 1681170812462> 222.354> [10-04-23 20:53:32.462] > ZNet: [-> CZombienet: RakNetPeerInterface_SetIncomingPassword
LOG  : Network     , 1681170812462> 222.354> [10-04-23 20:53:32.462] > ZNet: [-> CZombienet: RakNetPeerInterface_SetOccasionalPing
LOG  : Network     , 1681170812462> 222.354> [10-04-23 20:53:32.462] > ZNet: [-> CZombienet: RakNetPeerInterface_Startup
LOG  : Network     , 1681170812463> 222.355> [10-04-23 20:53:32.463] > ZNet: Startup version 41.78.16
LOG  : Network     , 1681170812463> 222.355> [10-04-23 20:53:32.463] > ZNet: Startup: serverPort=16261 serverUDPPort=16262
LOG  : Network     , 1681170812463> 222.355> [10-04-23 20:53:32.463] > ZNet: Zomboid Steam Server started, ports 16262 and 16261 must be open on the router
LOG  : Network     , 1681170812491> 222.383> [10-04-23 20:53:32.491] > ZNet: SRakNet -> SZombienet: OnRakPeerStartup
LOG  : Network     , 1681170812491> 222.383> [10-04-23 20:53:32.491] > ZNet: OnRakPeerStartup
LOG  : Network     , 1681170812524> 222.416> [10-04-23 20:53:32.524] > ZNet: GetRakPeerInterface GetSockets receives 2 sockets
LOG  : Network     , 1681170812524> 222.416> [10-04-23 20:53:32.524] > ZNet: SZombienet -> SSteamSDK: InitRelayNetworkAccess
LOG  : Network     , 1681170812526> 222.418> [10-04-23 20:53:32.526] > ZNet: SZombienet -> SRakNet: SetSocketLayerOverride this
LOG  : Network     , 1681170812526> 222.418> RakNet.Startup() return code: 0 (0 means success)
LOG  : Network     , 1681170812527> 222.419> [10-04-23 20:53:32.527] > ZNet: g_peer = 0x602b2f80
LOG  : Network     , 1681170812528> 222.420> *** SERVER STARTED ****
LOG  : Network     , 1681170812528> 222.420> *** Steam is enabled
LOG  : Network     , 1681170812528> 222.420> Server is listening on port 16261 (for Steam connection) and port 16262 (for UDPRakNet connection)
LOG  : Network     , 1681170812528> 222.421> Clients should use 16261 port for connections
LOG  : Network     , 1681170812529> 222.421> [10-04-23 20:53:32.529] > ZNet: [-> CZombienet: RakNetPeerInterface_GetServerIP
LOG  : General     , 1681170812530> 222.422> LuaNet: Initializing...
LOG  : General     , 1681170812530> 222.422> LuaNet: Registering server listener...
LOG  : General     , 1681170812530> 222.422> LuaNet: Initialization [DONE], triggering events for 'LuaNet.onInitAdd'.
LOG  : Network     , 1681170812530> 222.422> DISCORD: token not configured
LOG  : Network     , 1681170812530> 222.422> *** DISCORD DISABLED ****
LOG  : General     , 1681170812531> 222.423> ##########
Server Steam ID 90171311695911944
##########
LOG  : Multiplayer , 1681170812658> 222.550> [MPStatistics] mem usage notification threshold=5.100.273.664
LOG  : Network     , 1681170823786> 233.678> [10-04-23 20:53:43.786] > ZNet: SSteamSDK -> SZombienet: OnPolicyResponse
LOG  : Network     , 1681170823786> 233.678> [10-04-23 20:53:43.786] > ZNet: OnPolicyResponse
LOG  : Network     , 1681170823787> 233.678> [10-04-23 20:53:43.787] > ZNet: SZombienet -> SSteamSDK: BSecure
LOG  : Network     , 1681170823787> 233.678> [10-04-23 20:53:43.787] > ZNet: Zomboid Server is VAC Secure
LOG  : General     , 1681170823787> 233.678> command entered via server console (System.in): "set-host-user@Tomioka"
LOG  : Network     , 1681170823787> 233.679> [10-04-23 20:53:43.787] > ZNet: SSteamSDK -> SZombienet: OnP2PSessionRequest
LOG  : General     , 1681170823787> 233.679> command entered via server console (System.in): "set-host-steamid@76561198045199544"
LOG  : Network     , 1681170823787> 233.679> [10-04-23 20:53:43.787] > ZNet: OnP2PSessionRequest: idx=1 SteamID=76561198045199544
LOG  : General     , 1681170823788> 233.679> command entered via server console (System.in): "ping@pong"
LOG  : Network     , 1681170823804> 233.695> [10-04-23 20:53:43.804] > ZNet: SZombienet -> SSteamSDK: AcceptP2PSessionWithUser
LOG  : General     , 1681170823805> 233.696> Set host user:Tomioka
LOG  : Network     , 1681170827498> 237.389> [10-04-23 20:53:47.498] > ZNet: SRakNet -> SZombienet: RakNetRecvFrom
LOG  : Network     , 1681170827498> 237.389> [10-04-23 20:53:47.498] > ZNet: SZombienet -> SZombienet: OnMsgVersionMessage
LOG  : Network     , 1681170827498> 237.390> [10-04-23 20:53:47.498] > ZNet: Client version=41.78.16 matches server version=41.78.16
