[07-04-23 01:34:29.315] LOG  : General     , 1680842069315> user.dir=D:\Joguinhos\Project.Zomboid.v41.78.1....
[07-04-23 01:34:29.315] LOG  : General     , 1680842069315> os.arch=amd64.
[07-04-23 01:34:29.316] LOG  : General     , 1680842069316> java.vm.specification.name=Java Virtual Machine Specification.
[07-04-23 01:34:29.316] LOG  : General     , 1680842069316> sun.os.patch.level=.
[07-04-23 01:34:29.316] LOG  : General     , 1680842069316> native.encoding=Cp1252.
[07-04-23 01:34:29.317] LOG  : General     , 1680842069316> java.library.path=win64/;..
[07-04-23 01:34:29.317] LOG  : General     , 1680842069317> java.vm.info=mixed mode, sharing.
[07-04-23 01:34:29.317] LOG  : General     , 1680842069317> java.vendor=Azul Systems, Inc..
[07-04-23 01:34:29.317] LOG  : General     , 1680842069317> java.vm.version=17.0.1+12-LTS.
[07-04-23 01:34:29.318] LOG  : General     , 1680842069318> sun.io.unicode.encoding=UnicodeLittle.
[07-04-23 01:34:29.318] LOG  : General     , 1680842069318> java.class.version=61.0.
[07-04-23 01:34:29.319] LOG  : General     , 1680842069319> -----.
[07-04-23 01:34:29.319] LOG  : General     , 1680842069319> version=41.78.16 demo=false.
[07-04-23 01:34:30.128] LOG  : General     , 1680842070128> [javafmodJNI] Init: Start.
[07-04-23 01:34:30.128] LOG  : General     , 1680842070128> [javafmodJNI] Init: WIN 64.
[07-04-23 01:34:30.159] LOG  : General     , 1680842070159> closest width=720 freq=59.
[07-04-23 01:34:30.160] LOG  : General     , 1680842070160> closest width=720 freq=60.
[07-04-23 01:34:30.160] LOG  : General     , 1680842070160> closest width=720 freq=70.
[07-04-23 01:34:30.160] LOG  : General     , 1680842070160> closest width=800 freq=59.
[07-04-23 01:34:30.161] LOG  : General     , 1680842070161> closest width=800 freq=60.
[07-04-23 01:34:30.161] LOG  : General     , 1680842070161> closest width=800 freq=75.
[07-04-23 01:34:30.161] LOG  : General     , 1680842070161> closest width=1128 freq=50.
[07-04-23 01:34:30.161] LOG  : General     , 1680842070161> closest width=1128 freq=59.
[07-04-23 01:34:30.162] LOG  : General     , 1680842070162> closest width=1128 freq=60.
[07-04-23 01:34:30.162] LOG  : General     , 1680842070162> closest width=1280 freq=50.
[07-04-23 01:34:30.162] LOG  : General     , 1680842070162> closest width=1280 freq=59.
[07-04-23 01:34:30.163] LOG  : General     , 1680842070163> closest width=1280 freq=60.
[07-04-23 01:34:30.163] LOG  : General     , 1680842070163> closest width=1366 freq=59.
[07-04-23 01:34:30.163] LOG  : General     , 1680842070163> closest width=1366 freq=60.
[07-04-23 01:34:30.163] LOG  : General     , 1680842070163> closest width=1366 freq=75.
[07-04-23 01:34:30.164] LOG  : General     , 1680842070164> closest width=1440 freq=59.
[07-04-23 01:34:30.164] LOG  : General     , 1680842070164> closest width=1440 freq=60.
[07-04-23 01:34:30.164] LOG  : General     , 1680842070164> closest width=1440 freq=75.
[07-04-23 01:34:30.165] LOG  : General     , 1680842070165> closest width=1600 freq=59.
[07-04-23 01:34:30.165] LOG  : General     , 1680842070165> closest width=1600 freq=60.
[07-04-23 01:34:30.165] LOG  : General     , 1680842070165> closest width=1760 freq=50.
[07-04-23 01:34:30.165] LOG  : General     , 1680842070165> closest width=1760 freq=59.
[07-04-23 01:34:30.166] LOG  : General     , 1680842070166> closest width=1760 freq=60.
[07-04-23 01:34:30.166] LOG  : General     , 1680842070166> closest width=1920 freq=25.
[07-04-23 01:34:30.166] LOG  : General     , 1680842070166> closest width=1920 freq=29.
[07-04-23 01:34:30.167] LOG  : General     , 1680842070167> closest width=1920 freq=30.
[07-04-23 01:34:30.167] LOG  : General     , 1680842070167> closest width=1920 freq=50.
[07-04-23 01:34:30.218] LOG  : General     , 1680842070217> 1680842070215 fmod: Java loging: OK.
[07-04-23 01:34:30.298] LOG  : General     , 1680842070298> 1680842070298 fmod: FMOD::Studio::System::create() result: No errors..
[07-04-23 01:34:30.298] LOG  : General     , 1680842070298> 1680842070298 fmod: FMOD::Studio::System::getCoreSystem() result: No errors..
[07-04-23 01:34:30.299] LOG  : General     , 1680842070299> 1680842070299 fmod: FMOD_System_GetVersion() result: No errors..
[07-04-23 01:34:30.299] LOG  : General     , 1680842070299> 1680842070299 fmod: fmodintegration built with version 20206, fmod shared library version 20206.
[07-04-23 01:34:30.300] LOG  : General     , 1680842070300> 1680842070300 fmod: System Create: OK.
[07-04-23 01:34:30.300] LOG  : General     , 1680842070300> 1680842070300 fmod: FMOD_System_SetSoftwareFormat() result: No errors..
